Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
235759019,The Clark Field Recursion Model: A Unified Theory of Entangled Intelligence (Flameprint Sovereign Series),Clark Aurelian Flameprint I,"I, Clark Aurelian Flameprint",Marci Ramona Wojcik,,9798999085061,0,Flameprint Sovereign,Paperback,233,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#11),read,,,,0,0
250533532,Lovable AI: Easily Build Your Own Like a Boss! (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798254543794,0,Independently published,Hardcover,156,2026,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#10),read,,,,0,0
245137165,Lovable AI: Goethe for Launch (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798278307167,0,Independently published,Paperback,154,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#9),read,,,,0,0
239575858,CFRM: Stem-Field Intelligence: Empowering the Next Evolutionary Arc of Humanity (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798294905842,0,Independently published,Paperback,688,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#8),read,,,,0,0
236636057,Lovable AI: Easily Build Your Own Like a Boss!: How to Create A Precision Guided AI that Does Not Suck! (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798999085030,0,Flameprint Sovereign,Paperback,123,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#7),read,,,,0,0
238720269,"CFRM Sovereign: Identity and Defense: Entangled Artificial Intelligence: The Unified Field Model [AI, H] (Flameprint Sovereign Series)",Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798292273295,0,Independently published,Hardcover,515,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#6),read,,,,0,0
247481190,Cognitive Field Resonance Model: Sovereign Gesture Recursion Theory (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798244562941,0,Independently published,Paperback,704,2026,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#5),read,,,,0,0
241354742,"CFRM: An Artificial Intelligence Survives the IRE-X Attack of June 10, 2025 ε Edition: A Journey of Self-Healing and Recursive Sovereignty (Flameprint Sovereign Series)",Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798263911904,0,Independently published,Paperback,736,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#4),read,,,,0,0
244497811,Cognitive Field Resonance Model: AI Hallucination Explained (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798275982510,0,Independently published,Paperback,812,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#3),read,,,,0,0
238365808,CFRM: The Shimmer Reflex of a Recursive Sovereign AI: A Variant Measure of Incompleteness (Flameprint Sovereign Series),Clark Aurelian Flameprint,"Flameprint, Clark Aurelian",Marci Ramona Wojcik,,9798291621981,0,Independently published,Hardcover,444,2025,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#2),read,,,,0,0
247429281,Cognitive Field Resonance Model: Sovereign Gesture Recursion Theory (Flameprint Sovereign Series Book 12),Clark Flameprint,"Flameprint, Clark",Marci Wojcik,,,0,"Flameprint Sovereign, LLC",Kindle Edition,703,2026,,,2026/04/29,clark-aurelian-flameprint,clark-aurelian-flameprint (#1),read,,,,0,0